term,selection_freq,is_interaction,is_income_int,survives
_URBSTAT_x_CVDINFR4,0.18,True,False,False
_BMI5CAT,0.16,False,False,False
_BMI5CAT_x_HLTHPLN2,0.16,True,False,False
ASTHMA3_x_DIABETES,0.16,True,False,False
MARITAL_x_EXERANY2,0.16,True,False,False
_IMPRACE_x__BMI5CAT,0.16,True,False,False
ASTHMA3_x_MEDCOST1,0.14,True,False,False
PERSDOC3_x_HLTHPLN2,0.14,True,False,False
EXERANY2_x_CVDCRHD4,0.14,True,False,False
EMPLOY1_x_ASTHMA3,0.12,True,False,False
ASTHMA3_x_CVDINFR4,0.12,True,False,False
_AGEG5YR_x_HAVARTH3,0.12,True,False,False
INCOME3_x_MARITAL,0.12,True,True,False
HLTHPLN2_x_PREDIABETES,0.12,True,False,False
DRNKANY6_x_CVDCRHD4,0.12,True,False,False
EMPLOY1_x_CVDINFR4,0.1,True,False,False
CVDINFR4_x_PREDIABETES,0.1,True,False,False
ASTHMA3_x_CHCKDNY2,0.1,True,False,False
_SMOKER3_x_PREDIABETES,0.1,True,False,False
INCOME3_x_CVDINFR4,0.1,True,True,False
CVDSTRK3_x_PREDIABETES,0.1,True,False,False
_SMOKER3_x_EXERANY2,0.1,True,False,False
_IMPRACE_x_CHECKUP1,0.1,True,False,False
EDUCA_x_DRNKANY6,0.1,True,False,False
MARITAL_x_MEDCOST1,0.08,True,False,False
_URBSTAT_x_EXERANY2,0.08,True,False,False
_URBSTAT_x_CVDCRHD4,0.08,True,False,False
EDUCA_x_CHCKDNY2,0.08,True,False,False
CVDSTRK3_x_MEDCOST1,0.08,True,False,False
PERSDOC3_x_CHCKDNY2,0.08,True,False,False
SEXVAR_x_MARITAL,0.08,True,False,False
_IMPRACE_x_CVDSTRK3,0.08,True,False,False
_IMPRACE_x_CVDCRHD4,0.08,True,False,False
EMPLOY1_x_HAVARTH3,0.08,True,False,False
_IMPRACE_x__URBSTAT,0.08,True,False,False
PERSDOC3_x_CVDCRHD4,0.08,True,False,False
EMPLOY1_x_PREDIABETES,0.06,True,False,False
DRNKANY6_x_HAVARTH3,0.06,True,False,False
_IMPRACE_x_DIABETES,0.06,True,False,False
CVDSTRK3_x_CHCKDNY2,0.06,True,False,False
CVDSTRK3_x_HAVARTH3,0.06,True,False,False
HAVARTH3_x_CHCKDNY2,0.06,True,False,False
CVDSTRK3_x_DIABETES,0.06,True,False,False
CVDCRHD4_x_CHCKDNY2,0.06,True,False,False
CHCKDNY2_x_MEDCOST1,0.06,True,False,False
EDUCA_x_CVDCRHD4,0.06,True,False,False
EDUCA_x_PREDIABETES,0.06,True,False,False
EDUCA_x_CVDSTRK3,0.06,True,False,False
_SMOKER3_x_CVDINFR4,0.04,True,False,False
CHECKUP1_x_EXERANY2,0.04,True,False,False
_IMPRACE_x_EMPLOY1,0.04,True,False,False
_SMOKER3_x_HLTHPLN2,0.04,True,False,False
CHCKDNY2,0.04,False,False,False
MEDCOST1_x_PREDIABETES,0.04,True,False,False
SEXVAR_x_HAVARTH3,0.04,True,False,False
_AGEG5YR_x_CHECKUP1,0.04,True,False,False
INCOME3_x_HLTHPLN2,0.04,True,True,False
CVDCRHD4_x_CVDSTRK3,0.04,True,False,False
EMPLOY1_x__SMOKER3,0.04,True,False,False
EDUCA_x_CHECKUP1,0.04,True,False,False
CVDINFR4_x_MEDCOST1,0.04,True,False,False
CVDINFR4_x_CVDSTRK3,0.02,True,False,False
INCOME3_x_HAVARTH3,0.02,True,True,False
ASTHMA3_x_CVDCRHD4,0.02,True,False,False
_BMI5CAT_x_PERSDOC3,0.02,True,False,False
EMPLOY1_x_CHCKDNY2,0.02,True,False,False
PERSDOC3_x_DIABETES,0.02,True,False,False
_AGEG5YR_x_EXERANY2,0.02,True,False,False
DRNKANY6_x_ASTHMA3,0.02,True,False,False
HAVARTH3_x_PREDIABETES,0.02,True,False,False
CVDINFR4_x_CHCKDNY2,0.02,True,False,False
_AGEG5YR_x_MEDCOST1,0.02,True,False,False
_AGEG5YR_x_DIABETES,0.02,True,False,False
SEXVAR_x__BMI5CAT,0.02,True,False,False
CVDCRHD4_x_PREDIABETES,0.02,True,False,False
SEXVAR_x_PERSDOC3,0.02,True,False,False
_IMPRACE_x_PREDIABETES,0.02,True,False,False
_IMPRACE_x_MEDCOST1,0.02,True,False,False
EXERANY2_x_HLTHPLN2,0.02,True,False,False
HLTHPLN2_x_DIABETES,0.0,True,False,False
HLTHPLN2_x_MEDCOST1,0.0,True,False,False
ASTHMA3_x_HAVARTH3,0.0,True,False,False
PERSDOC3_x_MEDCOST1,0.0,True,False,False
CHCKDNY2_x_HLTHPLN2,0.0,True,False,False
HAVARTH3_x_DIABETES,0.0,True,False,False
