Model,AUC,AUC_std,Sensitivity,Sensitivity_std,Specificity,Specificity_std,F1,F1_std,AP,AP_std,Brier,Brier_std,Youden_threshold
Logistic Regression,0.8471918514913739,0.001641581342696715,0.7853375217555477,0.010489061139703043,0.7544400879931563,0.010006552205197292,0.342291812196406,0.004861566095488852,0.3879076538649105,0.0036672598036325194,0.15885540562900102,0.0006026080087912433,0.4813317668304388
Decision Tree,0.8375044963280841,0.0020443716392159715,0.7623955873311672,0.019243008175823535,0.7709873415885733,0.015932411721721808,0.3485431539303512,0.0074519275219225,0.37265875272642407,0.0030906266131135907,0.15744096993973003,0.0008407731093962015,0.511484005424231
Random Forest,0.8557939801895829,0.0022174019038657343,0.794536057168416,0.017596998167189685,0.7650525033176243,0.01839108395126513,0.3552839639351996,0.010861496469081217,0.40272644132178853,0.0010859116886912457,0.14762464362032232,0.0008370427659697378,0.4830713911407507
XGBoost,0.8574776874470758,0.0020056421553570278,0.7931902864531903,0.011445761392413803,0.7690008766517835,0.009127086837079669,0.3580640226434821,0.005010368036941349,0.41360120071766326,0.0023314251773886453,0.1476154386997223,0.0008945555594512314,0.47614745497703553
