Model,auc_mean,auc_std,sensitivity_mean,sensitivity_std,specificity_mean,specificity_std,f1_mean,f1_std,sensitivity_05_mean,sensitivity_05_std,specificity_05_mean,specificity_05_std,f1_05_mean,f1_05_std,ap_mean,ap_std,brier_mean,brier_std,youden_threshold_mean,youden_threshold_std
Logistic Regression,0.8471918514913739,0.001641581342696715,0.7853375217555477,0.010489061139703043,0.7544400879931563,0.010006552205197292,0.342291812196406,0.004861566095488852,0.7671078454620537,0.002420284492945202,0.7708793250172384,0.001780362712127927,0.3499570537471318,0.0019746027043253747,0.3879076538649105,0.0036672598036325194,0.15885540562900102,0.0006026080087912433,0.4813317668304388,0.011675908922034687
Decision Tree,0.8375044963280841,0.0020443716392159715,0.7623955873311672,0.019243008175823535,0.7709873415885733,0.015932411721721808,0.3485431539303512,0.0074519275219225,0.7657336074125337,0.005501971032248585,0.7659266685865462,0.002536645464693696,0.34498630491992327,0.0021269999548738385,0.37265875272642407,0.0030906266131135907,0.15744096993973003,0.0008407731093962015,0.511484005424231,0.026578453138761414
Random Forest,0.8557939801895829,0.0022174019038657343,0.794536057168416,0.017596998167189685,0.7650525033176243,0.01839108395126513,0.3552839639351996,0.010861496469081217,0.7791395629251568,0.005995322548321118,0.7784273876852166,0.002346582108597847,0.3615705391434767,0.00390848890469192,0.40272644132178853,0.0010859116886912457,0.14762464362032232,0.0008370427659697378,0.4830713911407507,0.0214616563604398
XGBoost,0.8574776874470758,0.0020056421553570278,0.7931902864531903,0.011445761392413803,0.7690008766517835,0.009127086837079669,0.3580640226434821,0.005010368036941349,0.7749887471643759,0.0038755336034939306,0.7851676012431675,0.0015980606181660248,0.3665388322915928,0.002859428904008308,0.41360120071766326,0.0023314251773886453,0.1476154386997223,0.0008945555594512314,0.47614745497703553,0.012998995273333279
