auc,ap,sensitivity,specificity,f1,brier,tn,fp,fn,tp,fold,youden_threshold,sensitivity_05,specificity_05,f1_05
0.8544111835134119,0.40221691104577084,0.7993268826251577,0.7542601777734126,0.3470636587816239,0.14862080982194253,61436,20016,1431,5700,1,0.4730842502234694,0.7760482400785303,0.775511957962972,0.3576090468497577
0.8547398504480657,0.40407472757909224,0.7677745056794278,0.7885012031625989,0.3670432071866725,0.14745038722775544,64225,17227,1656,5475,2,0.5120156737664986,0.7766091712242322,0.7787162991700634,0.36086404066073696
0.8558371234251384,0.4019981630510404,0.8168816601233876,0.7414028065953764,0.3424943417301079,0.14790055579654188,60388,21063,1306,5826,3,0.4553114345007803,0.7788839035333707,0.776614160661011,0.35975649245515184
0.8596154868336795,0.40369658725937174,0.7945589678866919,0.7763317822985599,0.36537159438981137,0.14633373670721606,63233,18218,1465,5666,4,0.4943842502087866,0.7895105875753752,0.781033995899375,0.3680219636553798
0.8543662567276197,0.4016458176736671,0.7941382695274155,0.7647665467581736,0.35444701758778246,0.14781772854815578,62291,19160,1468,5663,5,0.4805613470042184,0.7746459122142757,0.7802605247326614,0.3616011520963571
