Model,AUC,AUC_std,Sensitivity,Sensitivity_std,Specificity,Specificity_std,F1,F1_std,AP,AP_std,Brier,Brier_std,n_features
Logistic Regression,0.8031627752036098,0.0030483921307775056,0.7361451501359897,0.020552620458268108,0.7268456897978297,0.02019222387406264,0.30349885910457275,0.007905217972708628,0.2877020256908479,0.004302539716535212,0.18249817957933834,0.0007821300383038007,16
Decision Tree,0.7984340047723364,0.003255679119609949,0.7291610658100748,0.024311609621493365,0.7306197300098594,0.024789961731895477,0.3039086878982566,0.009366017551219526,0.2968245432004232,0.0038782530333795182,0.1765458498684283,0.0008043691928165481,16
Random Forest,0.8173867528363827,0.0027735545827144953,0.7643608873062431,0.03017423709553004,0.7221288233604702,0.030624373154652343,0.3103704464120334,0.013053079004804171,0.32156164731143627,0.0029020101856285737,0.16182313869744513,0.0009751927776609216,16
XGBoost,0.81959873653936,0.0022722304573251834,0.7497758045040128,0.021785209900198485,0.7404930861157816,0.024013222716249057,0.3186382910424046,0.010436432582980321,0.32817236661500593,0.003461789357370685,0.16751397848129274,0.000982473366140269,16
