n,n_copd,actual_prev,pred_prev,sensitivity,specificity,ppv,fpr,auc,model,band,inc_vals
55624,9733,17.497842657845535,60.0657989357112,0.9228398232816193,0.46767340001307445,0.268833617670827,0.5323265999869256,0.8170637566240607,Logistic Regression,"Low
(<$25k)","[1, 2, 3, 4]"
55624,9733,17.497842657845535,54.706601466992666,0.917086201582246,0.5314113878538276,0.2933289516924088,0.4685886121461725,0.8336427071215746,Random Forest,"Low
(<$25k)","[1, 2, 3, 4]"
55624,9733,17.497842657845535,53.647706026175754,0.913079215041611,0.5433963086443965,0.2978117355316511,0.45660369135560347,0.8359211014271052,XGBoost,"Low
(<$25k)","[1, 2, 3, 4]"
88734,9209,10.378209029233439,39.89226226700025,0.8256053860354001,0.6504872681546684,0.21478614610994973,0.34951273184533166,0.8191888469069715,Logistic Regression,"Mid-low
($25–50k)","[5, 6]"
88734,9209,10.378209029233439,39.16198976716929,0.83896188511239,0.6601823325998114,0.22233093525179856,0.3398176674001886,0.8294150088743946,Random Forest,"Mid-low
($25–50k)","[5, 6]"
88734,9209,10.378209029233439,38.36409944327991,0.8340753610598328,0.668519333542911,0.22563304153692498,0.33148066645708896,0.8311074253898322,XGBoost,"Mid-low
($25–50k)","[5, 6]"
157531,8081,5.12978397902635,18.761386647707432,0.6439797054819948,0.83706256273001,0.1760784977161225,0.16293743726998997,0.8263415230924064,Logistic Regression,"Mid-high
($50–150k)","[7, 8, 9]"
157531,8081,5.12978397902635,19.80816474217773,0.6785051355030318,0.8278956172632987,0.17571465196769645,0.17210438273670123,0.8335588996472608,Random Forest,"Mid-high
($50–150k)","[7, 8, 9]"
157531,8081,5.12978397902635,19.807529946486724,0.679000123747061,0.8279290732686517,0.17584847610806653,0.17207092673134827,0.8346172640853777,XGBoost,"Mid-high
($50–150k)","[7, 8, 9]"
45964,1001,2.177791314942129,5.891567313549735,0.4015984015984016,0.9487133865622845,0.1484490398818316,0.051286613437715456,0.8156670631816864,Logistic Regression,"High
(>$150k)","[10, 11]"
45964,1001,2.177791314942129,6.315812374902096,0.42157842157842157,0.9448212975112871,0.1453668618670341,0.05517870248871294,0.8223136425880905,Random Forest,"High
(>$150k)","[10, 11]"
45964,1001,2.177791314942129,5.660952049429989,0.3946053946053946,0.9509151969397059,0.15180630284396618,0.049084803060294016,0.8201691109637643,XGBoost,"High
(>$150k)","[10, 11]"
