Model,Full AUC,Reduced AUC,ΔAUC,Reduced Sens,Full Sens,ΔSens,Reduced Spec,Full Spec,ΔSpec,Reduced AP
Logistic Regression,0.8471918514913739,0.8031627752036098,-0.04402907628776409,0.7361451501359897,0.7853375217555477,-0.04919237161955803,0.7268456897978297,0.7544400879931563,-0.027594398195326608,0.2877020256908479
Decision Tree,0.8375044963280841,0.7984340047723364,-0.03907049155574771,0.7291610658100748,0.7623955873311672,-0.03323452152109241,0.7306197300098594,0.7709873415885733,-0.040367611578713936,0.2968245432004232
Random Forest,0.8557939801895829,0.8173867528363827,-0.038407227353200124,0.7643608873062431,0.794536057168416,-0.030175169862172946,0.7221288233604702,0.7650525033176243,-0.04292367995715407,0.32156164731143627
XGBoost,0.8574776874470758,0.81959873653936,-0.03787895090771576,0.7497758045040128,0.7931902864531903,-0.04341448194917752,0.7404930861157816,0.7690008766517835,-0.028507790536001942,0.32817236661500593
