income_val,income_label,prevalence,ci_lo,ci_hi,n
1,<$10k,10.639115791553925,9.311904793014234,11.966326790093616,9208
2,$10–15k,15.576004627949205,13.974225636092847,17.177783619805563,9837
3,$15–20k,13.620008325540308,12.156324690535882,15.083691960544735,12780
4,$20–25k,10.775861953041105,9.77570647147797,11.77601743460424,18090
5,$25–35k,9.207365868238092,8.568893950963446,9.845837785512739,38318
6,$35–50k,7.25327137156373,6.722790678569581,7.783752064557879,47299
7,$50–75k,5.660186442719736,5.22098071640732,6.099392169032152,57712
8,$75–100k,4.2886765256973085,3.878943584716606,4.698409466678011,49025
9,$100–150k,3.1582689554014007,2.825053208939614,3.4914847018631874,52180
10,$150–200k,2.5115040752407567,2.062827267063706,2.960180883417807,24326
11,>$200k,1.5862859491305905,1.262646058632675,1.9099258396285062,26735
