Model,Baseline AUC,Int AUC,Delta AUC
Logistic Regression,0.8471918514913739,0.8475853866049634,0.0003935351135895271
Random Forest,0.8557939801895829,0.8556288882283816,-0.00016509196120129133
XGBoost,0.8574776874470758,0.8575311222222617,5.3434775185934313e-05
